,Flight Name,Departure time,Arrival time,Source,Destination,No of Stop,Duration,Date of Journey,Price
5205,Air India,23:00,07:50+1D,Goa In,Hyderabad,2 Stops,32h 50m,10 Feb 22,5368
3707,Vistara,09:30,16:55,Delhi,Kolkata,1 Stop,7h 25m,10 Feb 22,12988
887,Go First,16:45,02:40+1D,Bengaluru,Ahmedabad,1 Stop,9h 55m,10 Feb 22,4100
2390,Air India,07:35,12:05+1D,Bengaluru,Pune,3 Stops,28h 30m,10 Feb 22,5530
4716,AirAsia I.,09:00,11:40,Chennai,Jaipur,Non Stop,2h 40m,10 Feb 22,7351
8698,Vistara,15:25,19:55+1D,Lucknow,Kolkata,2 Stops,28h 30m,10 Feb 22,15535
324,Vistara,08:25,12:45+1D,Ahmedabad,Goa In,2 Stops,28h 20m,10 Feb 22,16768
8783,Air India,08:55,08:35+1D,Lucknow,Mumbai,2 Stops,23h 40m,10 Feb 22,6473
6966,Air India,03:45,12:10+1D,Jaipur,Kolkata,3 Stops,32h 25m,10 Feb 22,6754
8936,Air India,17:05,06:35+1D,Lucknow,Pune,2 Stops,13h 30m,10 Feb 22,4437
4630,IndiGo,09:00,17:50,Chennai,Hyderabad,1 Stop,8h 50m,10 Feb 22,2860
6803,Go First,09:05,22:10,Jaipur,Hyderabad,1 Stop,13h 05m,10 Feb 22,5170
2557,Vistara,21:40,11:55+1D,Bengaluru,Srinagar,2 Stops,14h 15m,10 Feb 22,14627
4980,Vistara,06:55,22:50,Chennai,Mumbai,1 Stop,15h 55m,10 Feb 22,11245
6706,Air India,19:35,22:25+1D,Jaipur,Goa In,3 Stops,26h 50m,10 Feb 22,5547
3358,Vistara,11:40,12:45+1D,Delhi,Goa In,1 Stop,25h 05m,10 Feb 22,12096
8793,Air India,20:15,08:35+1D,Lucknow,Mumbai,2 Stops,36h 20m,10 Feb 22,6473
3155,Air India,19:00,16:15+1D,Delhi,Chennai,3 Stops,21h 15m,10 Feb 22,6853
3676,IndiGo,07:20,15:20,Delhi,Kolkata,1 Stop,8h 00m,10 Feb 22,6268
8145,Vistara,10:25,10:05+1D,Kolkata,Patna,2 Stops,23h 40m,10 Feb 22,16744
4241,Vistara,09:45,07:50+1D,Chennai,Ahmedabad,2 Stops,22h 05m,10 Feb 22,16171
135,Go First,11:30,12:45,Mumbai,Goa,Non Stop,1h 15m,"Tue, 22 Feb","1,998"
1003,Vistara,08:30,22:35,Bengaluru,Ahmedabad,2 Stops,14h 05m,10 Feb 22,15467
5897,SpiceJet,20:35,23:50+1D,Guwahati,Mumbai,1 Stop,27h 15m,10 Feb 22,8670
4695,Vistara,17:10,17:00+1D,Chennai,Hyderabad,1 Stop,23h 50m,10 Feb 22,11067
7237,Air India,20:10,10:10+1D,Kochi,Mumbai,1 Stop,14h 00m,10 Feb 22,5732
7249,Air India,18:00,18:00+1D,Kochi,Mumbai,2 Stops,24h 00m,10 Feb 22,5732
4269,Go First,13:45,00:35+1D,Chennai,Bengaluru,1 Stop,10h 50m,10 Feb 22,3438
8461,Vistara,15:25,10:45+1D,Lucknow,Bengaluru,2 Stops,19h 20m,10 Feb 22,13225
8866,Vistara,15:25,09:00+1D,Lucknow,Mumbai,2 Stops,17h 35m,10 Feb 22,13269
3914,Vistara,20:40,11:25+1D,Delhi,Mumbai,1 Stop,14h 45m,10 Feb 22,12148
9757,Air India,21:30,12:10+1D,Mumbai,Guwahati,1 Stop,14h 40m,10 Feb 22,4963
5161,Air India,01:15,16:15,Goa In,Bengaluru,1 Stop,15h 00m,10 Feb 22,6993
9108,Vistara,06:30,07:50+1D,Mumbai,Ahmedabad,1 Stop,25h 20m,10 Feb 22,10666
2187,IndiGo,07:50,15:00,Bengaluru,Patna,1 Stop,7h 10m,10 Feb 22,3909
38,IndiGo,09:40,19:35,New Delhi,Bangalore,1 Stop,9h 55m,"Sun, 6 Mar","3,127"
3948,IndiGo,13:15,15:00,Delhi,Patna,Non Stop,1h 45m,10 Feb 22,2188
3659,Go First,16:35,04:00+1D,Delhi,Kolkata,1 Stop,11h 25m,10 Feb 22,5952
3243,Go First,15:30,23:25,Delhi,Goa In,1 Stop,7h 55m,10 Feb 22,3892
7125,Go First,21:30,06:50+1D,Jaipur,Pune,1 Stop,9h 20m,10 Feb 22,5422
6793,Air India,14:00,21:35,Jaipur,Hyderabad,1 Stop,7h 35m,10 Feb 22,4083
5921,Vistara,12:40,21:35,Guwahati,Mumbai,2 Stops,8h 55m,10 Feb 22,14229
1887,SpiceJet,06:55,17:55,Bengaluru,Kolkata,1 Stop,11h 00m,10 Feb 22,7095
4768,Air India,08:30,19:10,Chennai,Jaipur,2 Stops,10h 40m,10 Feb 22,7694
9485,Air India,09:00,10:55,Mumbai,Chennai,Non Stop,1h 55m,10 Feb 22,1888
5476,Vistara,21:55,16:20+1D,Goa In,Pune,2 Stops,18h 25m,10 Feb 22,15605
6294,Air India,20:50,08:55+1D,Hyderabad,Chennai,1 Stop,12h 05m,10 Feb 22,4227
9864,Go First,05:00,12:45,Mumbai,Guwahati,1 Stop,7h 45m,10 Feb 22,10677
4831,Air India,09:55,12:10+1D,Chennai,Kolkata,4 Stops,26h 15m,10 Feb 22,6812
1266,Air India,13:20,06:25+1D,Bengaluru,Goa In,2 Stops,17h 05m,10 Feb 22,6831
3126,Air India,07:00,10:55+1D,Delhi,Chennai,1 Stop,27h 55m,10 Feb 22,3986
9807,Air India,08:05,18:45+1D,Mumbai,Guwahati,2 Stops,34h 40m,10 Feb 22,7836
